Pos,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,2P_3-10,2P%_0-3,3P%,2P%_asst,3P%_asst,Corner3%_3PA
C,13.7,3.9,3.0,10.0,2.2,1.1,1.2,3.2,0.19,0.77,0.333,0.835,1.0,0.667
SF,13.0,3.4,2.4,6.7,2.0,2.0,0.5,2.8,0.223,0.633,0.281,0.638,0.938,0.614
C,9.0,4.3,3.9,11.2,3.1,2.2,2.5,2.5,0.102,0.6759999999999999,0.355,0.723,0.963,0.263
C,9.4,3.5,4.4,10.9,3.5,2.2,2.5,2.6,0.087,0.602,0.383,0.6920000000000001,0.978,0.242
C,8.1,6.2,2.6,11.7,2.2,2.1,2.5,2.3,0.149,0.92,0.25,0.794,0.875,0.344
PG,14.7,10.6,0.8,4.5,10.3,0.9,0.5,4.1,0.191,0.637,0.308,0.17600000000000002,0.496,0.13
SG,7.9,2.6,2.0,7.6,4.6,2.6,0.6,2.7,0.084,0.655,0.336,0.537,0.8190000000000001,0.158
PG,16.9,13.3,1.8,11.7,12.7,1.5,0.3,6.1,0.237,0.752,0.316,0.171,0.24,0.02
SF,6.9,3.1,1.4,3.4,1.6,1.8,0.2,1.3,0.142,0.605,0.297,0.643,1.0,0.396
SG,7.4,1.9,0.6,4.7,3.3,1.3,0.2,1.2,0.055,0.6759999999999999,0.362,0.541,0.8140000000000001,0.153
PF,9.0,3.0,1.3,6.4,1.2,1.3,0.5,2.3,0.195,0.545,0.28600000000000003,0.7190000000000001,0.929,0.35700000000000004
SG,13.0,3.5,1.2,5.4,7.6,1.7,0.7,3.2,0.197,0.677,0.34700000000000003,0.333,0.647,0.14300000000000002
PG,11.3,7.2,0.9,4.6,8.8,1.2,0.3,4.2,0.152,0.6970000000000001,0.3670000000000001,0.338,0.653,0.16899999999999998
C,19.6,7.7,6.5,16.1,4.0,2.8,2.4,5.3,0.334,0.662,0.14300000000000002,0.574,0.8,0.2
C,19.6,7.6,6.7,16.3,4.1,2.9,2.4,5.2,0.355,0.665,0.048,0.568,1.0,0.14300000000000002
PG,8.7,2.0,0.9,6.2,6.6,3.8,0.6,2.6,0.187,0.647,0.259,0.423,0.966,0.259
SG,2.7,1.1,0.3,5.3,3.8,1.1,0.3,1.6,0.029,0.75,0.35,0.636,0.94,0.105
C,20.2,14.0,4.5,14.5,4.9,1.4,2.1,5.1,0.195,0.725,0.331,0.452,0.912,0.035
SF,7.3,3.8,2.7,6.7,2.4,1.3,0.8,2.2,0.08900000000000001,0.649,0.325,0.667,0.8909999999999999,0.337
SF,7.5,3.8,3.0,6.4,2.6,1.4,0.9,1.9,0.097,0.6509999999999999,0.349,0.698,1.0,0.415
SG,7.0,3.7,2.3,7.2,2.2,1.2,0.8,2.7,0.075,0.6459999999999999,0.28600000000000003,0.619,0.667,0.206
C,11.6,4.6,4.9,10.0,2.6,0.9,3.0,3.7,0.403,0.75,1.0,0.69,1.0,1.0
SG,10.9,3.3,1.0,3.7,3.5,1.3,1.4,2.9,0.104,0.375,0.333,0.625,0.923,0.256
SG,11.0,3.4,1.0,3.7,3.6,1.3,1.4,2.9,0.105,0.375,0.342,0.625,0.923,0.263
SG,7.6,4.3,1.2,5.5,4.0,1.3,0.8,3.1,0.252,0.644,0.349,0.268,0.8,0.302
SG,7.1,5.0,1.1,5.6,4.0,1.5,0.7,2.5,0.208,0.667,0.35100000000000003,0.273,0.769,0.27
C,12.4,2.6,6.1,12.6,3.0,1.1,1.7,2.0,0.192,0.706,0.14300000000000002,0.721,1.0,0.7140000000000001
C,6.5,2.9,6.9,5.9,2.0,1.2,0.2,2.2,0.222,0.75,0.0,0.5,0.0,0.0
SF,2.0,0.8,0.9,2.0,2.0,1.0,0.7,1.2,0.05,0.63,0.292,0.897,0.98,0.411
C,10.6,3.3,4.4,8.6,3.2,1.2,1.1,2.7,0.18600000000000005,0.713,0.135,0.6940000000000001,1.0,0.405
PG,10.0,3.8,0.5,3.9,6.3,1.6,0.4,2.6,0.053,0.5710000000000001,0.304,0.236,0.667,0.177
PF,5.0,2.5,3.3,5.9,2.6,1.0,0.9,1.6,0.069,0.659,0.376,0.636,0.965,0.4920000000000001
SG,6.1,2.7,0.4,3.4,3.3,1.0,0.0,1.7,0.081,0.675,0.388,0.723,0.932,0.08900000000000001
SF,11.6,5.2,0.4,3.6,4.9,1.7,0.4,2.9,0.147,0.691,0.399,0.4370000000000001,0.8270000000000001,0.14300000000000002
PG,18.7,10.2,1.0,4.8,10.3,2.2,0.7,4.7,0.266,0.665,0.292,0.145,0.611,0.135
SG,1.9,4.5,0.3,2.9,0.6,0.6,0.0,1.6,0.034,0.6,0.174,1.0,1.0,0.304
PG,8.9,3.3,1.2,3.3,12.9,1.9,0.6,5.0,0.213,0.5710000000000001,0.333,0.292,0.7,0.16699999999999998
PG,15.5,3.9,1.0,4.8,9.0,2.2,0.3,3.6,0.194,0.645,0.267,0.3,0.833,0.133
C,10.6,4.7,4.1,4.3,1.7,1.0,4.4,2.3,0.16399999999999998,0.7659999999999999,0.0,0.7020000000000001,0.0,0.0
PF,10.0,7.9,0.9,7.6,3.2,1.1,0.1,2.0,0.097,0.645,0.405,0.494,0.86,0.098
SG,6.1,2.5,1.0,3.4,2.9,1.4,0.3,1.2,0.13699999999999998,0.6779999999999999,0.399,0.7120000000000001,0.992,0.381
