Pos,MPG,2PA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,ORtg,DRtg,2P_3-10,2P_10-16,2P_16-3P,2P%_0-3,2P%_3-10,2P%_10-16,2P%_16-3P,3P%,2P%_asst,3P%_asst,Corner3%_3PA,Corner3%
PG,15.444444444444445,8.5,0.9,1.5,4.9,9.4,1.9,0.3,3.9,4.3,107.0,110,0.113,0.066,0.028,0.5,0.5,0.5710000000000001,0.333,0.35700000000000004,0.2,0.8,0.107,0.5
PF,20.271186440677965,13.8,6.2,4.6,10.0,4.6,1.6,2.5,3.1,4.9,117.0,110,0.223,0.029,0.034,0.674,0.395,0.364,0.385,0.205,0.743,1.0,0.077,0.667
SF,13.5,1.9,0.8,3.1,6.1,1.4,0.5,1.9,0.8,3.9,120.0,112,0.038,0.015,0.008,0.7859999999999999,0.4,0.5,1.0,0.35100000000000003,0.667,1.0,0.28800000000000003,0.406
PF,11.777777777777779,1.7,1.5,2.4,6.3,2.6,0.4,1.5,0.4,4.6,126.0,113,0.017,0.017,0.0,0.833,0.0,0.0,0.0,0.353,0.8,1.0,0.314,0.438
SF,14.791666666666664,1.9,0.4,3.6,6.0,0.7,0.5,2.1,1.1,3.4,116.0,111,0.054000000000000006,0.014,0.014,0.75,0.5,1.0,1.0,0.35,0.6,1.0,0.267,0.375
PF,22.41379310344828,14.9,4.0,3.3,9.1,2.9,1.1,1.7,2.0,3.6,127.0,109,0.215,0.14800000000000002,0.033,0.773,0.524,0.5489999999999999,0.375,0.359,0.813,1.0,0.422,0.29600000000000004
SG,24.014084507042252,13.0,4.7,1.4,3.9,3.9,1.3,0.5,2.8,3.1,111.0,114,0.22,0.083,0.027000000000000003,0.7020000000000001,0.482,0.333,0.348,0.368,0.256,0.77,0.232,0.396
SG,22.96551724137931,12.2,6.3,1.5,3.5,5.1,1.2,0.6,2.8,2.4,116.0,118,0.172,0.08,0.028,0.6579999999999999,0.429,0.269,0.444,0.371,0.294,0.78,0.16399999999999998,0.423
SG,24.73809523809524,13.4,3.7,1.4,4.2,3.1,1.4,0.4,2.7,3.5,109.0,112,0.25,0.085,0.026,0.7390000000000001,0.504,0.37,0.28600000000000003,0.366,0.236,0.763,0.276,0.386
C,12.466666666666667,10.4,5.3,4.8,6.3,4.0,0.3,2.0,2.3,3.5,118.0,111,0.292,0.021,0.021,0.8,0.35700000000000004,1.0,0.0,0.14300000000000002,0.6920000000000001,1.0,0.5710000000000001,0.0
PF,33.24390243902439,15.7,5.1,4.0,10.3,2.1,1.1,2.3,2.6,4.7,124.0,112,0.185,0.068,0.035,0.768,0.473,0.293,0.524,0.401,0.748,0.966,0.129,0.368
PF,26.363636363636363,8.1,1.3,4.1,7.2,2.6,0.8,0.8,2.3,5.9,110.0,116,0.206,0.044,0.029,0.633,0.28600000000000003,0.333,0.5,0.368,0.68,1.0,0.316,0.16699999999999998
PG,29.0,11.1,5.0,1.2,4.2,7.4,1.3,0.2,3.3,3.7,109.0,112,0.203,0.138,0.07400000000000001,0.5660000000000001,0.391,0.359,0.476,0.375,0.257,0.625,0.199,0.451
SG,18.55223880597015,5.0,1.5,2.2,8.2,3.9,0.9,1.1,1.9,2.6,114.0,104,0.063,0.013,0.023,0.705,0.368,0.25,0.0,0.331,0.732,0.945,0.114,0.316
PG,11.545454545454545,12.1,1.3,1.0,3.7,4.6,1.1,0.2,3.1,2.5,99.0,111,0.145,0.08900000000000001,0.17800000000000002,0.61,0.29,0.632,0.368,0.365,0.333,0.774,0.247,0.476
PF,30.52857142857143,5.3,2.7,1.4,8.7,1.9,2.5,2.0,2.2,4.8,105.0,107,0.087,0.012,0.019,0.675,0.429,0.444,0.5,0.335,0.7709999999999999,0.925,0.131,0.365
PF,29.39583333333333,6.1,3.1,1.2,8.3,1.8,2.6,1.5,2.4,4.9,106.0,109,0.097,0.018000000000000002,0.024,0.6609999999999999,0.479,0.444,0.417,0.34600000000000003,0.769,0.889,0.093,0.379
C,33.0,3.8,1.9,1.7,9.5,2.0,2.2,3.1,1.9,4.6,105.0,105,0.066,0.0,0.009000000000000001,0.7140000000000001,0.267,0.0,1.0,0.315,0.778,1.0,0.202,0.353
SG,17.64864864864865,4.1,1.0,0.8,4.7,2.4,1.1,0.3,1.2,3.4,97.0,117,0.085,0.096,0.079,0.75,0.333,0.412,0.429,0.303,0.667,1.0,0.244,0.414
SG,18.642857142857142,4.5,1.1,0.9,4.9,2.5,1.3,0.4,1.1,3.2,100.0,117,0.091,0.112,0.084,0.667,0.308,0.375,0.5,0.32299999999999995,0.591,1.0,0.194,0.444
SF,18.48275862068965,6.0,1.7,2.9,5.8,2.2,1.1,1.7,1.2,6.2,116.0,112,0.07400000000000001,0.041,0.03,0.7390000000000001,0.3,0.182,0.375,0.326,0.633,0.956,0.341,0.298
SF,28.84615384615385,4.3,3.2,1.3,8.4,4.1,1.8,0.6,1.7,3.6,111.0,109,0.044,0.02,0.05,0.648,0.36,0.273,0.393,0.343,0.648,0.852,0.226,0.382
